nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0401180	Clarence Hui	\N	\N	composer,actor,music_department	tt0109958,tt0117575,tt0189954,tt0114412
nm0401201	Michael Hui	1942	\N	actor,writer,director	tt0091227,tt0082761,tt0095396,tt0088268
nm0405783	Tsukasa Hôjô	1959	\N	writer,animation_department,director	tt10053058,tt1982229,tt0132019,tt6144244
nm0407453	Shôko Ikeda	1967	\N	actress	tt0099558,tt0103718,tt0798420,tt1068535
nm0410419	Mark Irwin	1950	\N	cinematographer,camera_department	tt0100502,tt0117571,tt0129387,tt0302886
nm0422271	Robert C. Jessup	1930	2008	cinematographer,camera_department	tt0091993,tt0075235,tt0076729,tt0084684
nm0424216	Johnny Knoxville	1971	\N	writer,producer,actor	tt1291150,tt3063516,tt0267891,tt0377818
nm0432005	Chun-Erh Lung	1957	\N	actress	tt0203232,tt0081495,tt0164453,tt1289814
nm0432531	Jing Fang	\N	\N	actor,music_department	tt2094197,tt0079509,tt0093228,tt6571630
nm0436339	Hsin Chin	\N	\N	actor,writer,director	tt0077694,tt0201191,tt2173776,tt0080413
nm0436340	Kang Chin	1939	\N	actor,stunts,miscellaneous	tt0072913,tt0068159,tt0186088,tt0198611
nm0436348	Peter Kam	1961	\N	composer,music_department,soundtrack	tt2186715,tt1718199,tt0499141,tt0454914
nm0436543	Robert Mark Kamen	1947	\N	writer,producer,miscellaneous	tt0119116,tt0293662,tt0936501,tt0097647
nm0437630	Kar-Ying Law	1947	\N	actor,music_department	tt0111767,tt0109962,tt0112778,tt0116014
nm0437900	Hal Kanter	1918	2011	writer,producer,director	tt0056792,tt0046604,tt0057795,tt0062575
nm0443753	Ke Szema	\N	\N	writer,director	tt0185591,tt0184077,tt0080897,tt0078523
nm0453608	Min Kim	1973	\N	actress	tt0271946,tt0299937,tt0239510,tt0439392
nm0455098	Ta Chiang Wu	\N	\N	composer,music_department	tt1745677,tt0079886,tt0068803,tt0064451
nm0457491	Nobuyasu Kita	\N	\N	cinematographer,camera_department	tt0397317,tt1436045,tt0257844,tt1075419
nm0463674	Vincent Kok	1965	\N	actor,writer,director	tt0184526,tt1623759,tt0312932,tt0294251
nm0465503	Louis Koo	1970	\N	actor,producer,soundtrack	tt0841150,tt2957774,tt7245176,tt1535495
nm0467942	Jim Kouf	1951	\N	writer,producer,director	tt0316732,tt1830617,tt0368891,tt0120812
nm0473325	Lung Ku	1937	1985	writer,producer,miscellaneous	tt0074747,tt2169700,tt2169508,tt3149610
nm0473928	Yeong-Mun Kwon	\N	\N	actor,stunts,assistant_director	tt0085127,tt0091433,tt0318282,tt0092549
nm0474373	Val Kuklowsky	\N	\N	sound_department,editor,producer	tt0111282,tt0141926,tt0116629,tt0114857
nm0475423	Claire Kupchak	\N	\N	producer,actress	tt0359774,tt0169990,tt1615160,tt5812994
nm0477035	Corey Yuen	1951	\N	actor,stunts,director	tt0425637,tt0300620,tt0293662,tt0094374
nm0477093	Chun Yang	1935	\N	actor,producer,miscellaneous	tt1427286,tt0071567,tt0077641,tt5592298
nm0477108	Teddy Robin Kwan	1945	\N	composer,actor,producer	tt0093435,tt1756487,tt0083708,tt1611823
nm0477241	Wai Chung Kwok	\N	\N	writer,actor	tt0110577,tt0114126,tt0102162,tt0106974
nm0481691	Henry Lai	\N	\N	composer,music_department,soundtrack	tt4788638,tt1330525,tt0882978,tt3003668
nm0482585	Lam Chua	1941	\N	producer,production_manager,miscellaneous	tt0102293,tt0091431,tt0117786,tt0102562
nm0482595	David Lam	\N	\N	director,actor,producer	tt0111774,tt3469440,tt0184927,tt0107399
nm0482647	Kwok-Hung Lam	1958	\N	actor	tt0095403,tt0089374,tt0092501,tt2656412
nm0482657	Man Yee Lam	\N	\N	composer,music_department,soundtrack	tt0089576,tt0087959,tt0091427,tt0084248
nm0482681	Ringo Lam	1955	2018	director,writer,producer	tt0224345,tt3801934,tt0134664,tt0093435
nm0482697	Siu-Lam Tang	\N	\N	composer,music_department,sound_department	tt0093944,tt0091431,tt0089374,tt0087578
nm0482780	Ross LaManna	\N	\N	writer	tt0266915,tt0293564,tt4085584,tt0120812
nm0489876	James Lassiter	\N	\N	producer,music_department,manager	tt0386588,tt0814314,tt0343818,tt0248667
nm0490489	Andy Lau	1961	\N	actor,producer,soundtrack	tt0338564,tt0216165,tt0385004,tt0374339
nm0490500	Carina Lau	1964	\N	actress,producer	tt0212712,tt1123373,tt0369060,tt0101258
nm0490605	Ricky Lau	1949	\N	director,actor,cinematographer	tt0111761,tt0089371,tt0100609,tt0080152
nm0490626	Tin-Chi Lau	\N	\N	writer,actor,producer	tt0077667,tt0080971,tt0081499,tt0081669
nm0495319	Stephen Leather	\N	\N	writer,producer	tt0271295,tt0155436,tt1615160,tt0288380
nm0496752	Daniel Lee	\N	\N	director,writer,production_designer	tt3672840,tt0115693,tt2102472,tt0882978
nm0497090	Daniel Lee	\N	\N	actor,writer,director	tt6385714,tt0367105,tt5198350
nm0497379	Han Hsiang Li	1926	1996	director,writer,miscellaneous	tt0311305,tt0078470,tt0067797,tt0057248
nm0497763	Lily Li	1950	\N	actress	tt0075415,tt0074355,tt0086606,tt0081499
nm0497901	Miki Lee	1977	\N	actress	tt7514772,tt0117786,tt0229492,tt0264588
nm0498775	Michael Leeson	\N	2016	writer,producer,miscellaneous	tt0290095,tt0098621,tt0098809,tt0086687
nm0499995	Siu-Tin Lai	1946	\N	actor,composer,music_department	tt0089374,tt0091431,tt0093258,tt2017561
nm0504897	Tony Chiu-Wai Leung	1962	\N	actor,soundtrack,music_department	tt0212712,tt0338564,tt0109424,tt0118694
nm0504899	Tony Ka Fai Leung	1958	\N	actor,producer,writer	tt0380291,tt0434008,tt0101316,tt2186715
nm0504935	Yiu-ming Leung	\N	\N	writer,actor,miscellaneous	tt0103285,tt0100973,tt0092937,tt0093015
nm0504962	Ken Leung	1970	\N	actor,soundtrack	tt0411008,tt2488496,tt0171433,tt0141842
nm0505152	Brian Levant	1952	\N	producer,writer,director	tt1273678,tt0116705,tt0109813,tt0088616
nm0508330	Li Hwa Hsu	\N	\N	miscellaneous,producer,actor	tt1265126,tt0089519,tt0079315,tt0078251
nm0508356	Bingbing Li	1973	\N	actress,producer,visual_effects	tt2109248,tt1855325,tt4779682,tt0865556
nm0508591	Shiu Bu Lia	\N	\N	actor	tt0079509,tt0200084
nm0508667	Yung-Chi Liang	\N	\N	cinematographer,camera_department	tt0073694,tt0158523
